context,question,answer
"CREATE TABLE table_name_21 (pick__number INTEGER, college VARCHAR, round VARCHAR)",What's the average draft pick number from Carson-Newman College before Round 7?,"SELECT AVG(pick__number) FROM table_name_21 WHERE college = ""carson-newman"" AND round < 7"
"CREATE TABLE table_name_27 (spouse_to VARCHAR, born_as VARCHAR)",Who was the spouse of the consort who was born as rania al yassin?,"SELECT spouse_to FROM table_name_27 WHERE born_as = ""rania al yassin"""
"CREATE TABLE table_19662262_6 (wickets VARCHAR, strike_rate VARCHAR)",How many figures for wickets when the strike rate is 54.0?,"SELECT COUNT(wickets) FROM table_19662262_6 WHERE strike_rate = ""54.0"""
"CREATE TABLE table_name_49 (communist_ticket VARCHAR, american_labor_ticket VARCHAR)",Who's the Communist ticket with an American Labor ticket of joseph v. o'leary?,"SELECT communist_ticket FROM table_name_49 WHERE american_labor_ticket = ""joseph v. o'leary"""
"CREATE TABLE table_name_54 (hdi_2011 VARCHAR, di_2011 VARCHAR)",What is the HDI 2011 of the country with a DI 2011 of 7.63?,"SELECT hdi_2011 FROM table_name_54 WHERE di_2011 = ""7.63"""
"CREATE TABLE table_name_17 (against INTEGER, draws VARCHAR, losses VARCHAR)","How much Against has Draws of 2, and Losses smaller than 4?",SELECT SUM(against) FROM table_name_17 WHERE draws = 2 AND losses < 4
"CREATE TABLE table_name_24 (score VARCHAR, year VARCHAR, winners VARCHAR, runners_up VARCHAR)",What was Galatasaray score when when he won in 1990 and Trabzonspor was the runner-up?,"SELECT score FROM table_name_24 WHERE winners = ""galatasaray"" AND runners_up = ""trabzonspor"" AND year = 1990"
"CREATE TABLE table_name_55 (runner_up VARCHAR, venue VARCHAR)",Who was the runner-up of the competition played at Minikahda Club?,"SELECT runner_up FROM table_name_55 WHERE venue = ""minikahda club"""
"CREATE TABLE table_name_33 (catalog VARCHAR, label VARCHAR)",What is the catalog number for the Grilled Cheese label?,"SELECT catalog FROM table_name_33 WHERE label = ""grilled cheese"""
"CREATE TABLE table_name_64 (opponent VARCHAR, result VARCHAR)",Which opponent had the result of W 24-14?,"SELECT opponent FROM table_name_64 WHERE result = ""w 24-14"""
CREATE TABLE table_2140071_7 (season INTEGER),What is the newest season?,SELECT MAX(season) FROM table_2140071_7
"CREATE TABLE table_name_8 (surface VARCHAR, opponent_s_ VARCHAR)",Which Surface has an Opponent(s) of anna-lena grönefeld tatjana malek?,"SELECT surface FROM table_name_8 WHERE opponent_s_ = ""anna-lena grönefeld tatjana malek"""
"CREATE TABLE table_1348989_2 (TV VARCHAR, season VARCHAR)",In what TV season did the 3rd season air?,"SELECT TV AS season FROM table_1348989_2 WHERE season = ""3rd"""
"CREATE TABLE table_name_39 (fastest_lap VARCHAR, constructor VARCHAR, location VARCHAR)","Who ran the fastest lap in the team that competed in Zolder, in which Ferrari was the Constructor?","SELECT fastest_lap FROM table_name_39 WHERE constructor = ""ferrari"" AND location = ""zolder"""
"CREATE TABLE table_name_7 (nba_draft VARCHAR, school VARCHAR)",What was the NBA draft status for Northeast High School?,"SELECT nba_draft FROM table_name_7 WHERE school = ""northeast high school"""
"CREATE TABLE table_name_96 (population__total_ INTEGER, year VARCHAR, _barcaldine_ VARCHAR)","What is the high Population (total) from 1976 with a (Barcaldine) smaller than 1,780?",SELECT MAX(population__total_) FROM table_name_96 WHERE year = 1976 AND _barcaldine_ < 1 OFFSET 780
CREATE TABLE table_name_48 (Id VARCHAR),"What 1953 has 2 as a 1949, and 3 as 1952?","SELECT 1953 FROM table_name_48 WHERE 1949 = ""2"" AND 1952 = ""3"""
"CREATE TABLE table_name_50 (losses VARCHAR, played INTEGER)",What is the total number of losses for the over 30 games played?,SELECT COUNT(losses) FROM table_name_50 WHERE played > 30
"CREATE TABLE artist (name VARCHAR, artist_id VARCHAR); CREATE TABLE exhibition (name VARCHAR, artist_id VARCHAR)",Show names for artists without any exhibition.,SELECT name FROM artist WHERE NOT artist_id IN (SELECT artist_id FROM exhibition)
"CREATE TABLE mountain (Country VARCHAR, Height INTEGER)",What are the countries of mountains with height bigger than 5000?,SELECT Country FROM mountain WHERE Height > 5000
"CREATE TABLE table_name_95 (money___ INTEGER, player VARCHAR)","What is the highest Money ( £ ), when Player is ""Peter Hedblom""?","SELECT MAX(money___) AS £__ FROM table_name_95 WHERE player = ""peter hedblom"""
"CREATE TABLE table_name_72 (date_of_appointment VARCHAR, team VARCHAR)",When was the appointment date for VFL Wolfsburg?,"SELECT date_of_appointment FROM table_name_72 WHERE team = ""vfl wolfsburg"""
"CREATE TABLE table_name_87 (language VARCHAR, network VARCHAR, genre VARCHAR, service VARCHAR)",What language is the moviein that is on UMP movies network through Sky service?,"SELECT language FROM table_name_87 WHERE genre = ""movies"" AND service = ""sky"" AND network = ""ump movies"""
"CREATE TABLE table_name_40 (location VARCHAR, design_flow__lpm_ VARCHAR, construction_start VARCHAR)","What Location has a Design flow (LPM) smaller than 1900, and a Construction Start of 2006 june?","SELECT location FROM table_name_40 WHERE design_flow__lpm_ < 1900 AND construction_start = ""2006 june"""
"CREATE TABLE table_15887683_1 (hdtv VARCHAR, television_service VARCHAR)",What high definition television options are available for Italia 1?,"SELECT hdtv FROM table_15887683_1 WHERE television_service = ""Italia 1"""
"CREATE TABLE table_name_17 (suffix VARCHAR, prefix VARCHAR)",Which suffix has the prefix of isothiocyanato- (-ncs)?,"SELECT suffix FROM table_name_17 WHERE prefix = ""isothiocyanato- (-ncs)"""
"CREATE TABLE table_name_3 (enrollment INTEGER, school VARCHAR)",What is the enrollment at the school of Hamilton community?,"SELECT AVG(enrollment) FROM table_name_3 WHERE school = ""hamilton community"""
"CREATE TABLE table_29566606_11 (date_of_return VARCHAR, programme VARCHAR)","What is the date of return for the program for the program ""Big Brother""?","SELECT date_of_return FROM table_29566606_11 WHERE programme = ""Big Brother"""
"CREATE TABLE table_name_95 (date VARCHAR, opponent VARCHAR)",On what date was Patty Fendick an opponent?,"SELECT date FROM table_name_95 WHERE opponent = ""patty fendick"""
"CREATE TABLE table_name_89 (position VARCHAR, years_for_grizzlies VARCHAR)",What position did the player who was with the grizzlies from 2007-2009 play?,"SELECT position FROM table_name_89 WHERE years_for_grizzlies = ""2007-2009"""
"CREATE TABLE Project_Staff (date_from VARCHAR, date_to VARCHAR, role_code VARCHAR)","When do all the researcher role staff start to work, and when do they stop working?","SELECT date_from, date_to FROM Project_Staff WHERE role_code = 'researcher'"
"CREATE TABLE table_name_9 (analog VARCHAR, callsign VARCHAR)",what is the analog type for wxmi?,"SELECT analog FROM table_name_9 WHERE callsign = ""wxmi"""
"CREATE TABLE table_14951643_1 (record VARCHAR, result VARCHAR)",what's the record with result being w 21–7,"SELECT record FROM table_14951643_1 WHERE result = ""W 21–7"""
"CREATE TABLE table_22815568_3 (market_income_per_capita VARCHAR, status VARCHAR, unemployment_rate VARCHAR)",What is the market income per capita in a county where the status is distressed and the unemployment rate is at 10.5%? ,"SELECT market_income_per_capita FROM table_22815568_3 WHERE status = ""Distressed"" AND unemployment_rate = ""10.5%"""
"CREATE TABLE table_name_64 (date VARCHAR, opponent_in_final VARCHAR)","What is Date, when Opponent in Final is ""Guy Forget""?","SELECT date FROM table_name_64 WHERE opponent_in_final = ""guy forget"""
"CREATE TABLE table_16388047_1 (time VARCHAR, date VARCHAR)",Name the time for saturday 4 march 1995,"SELECT time FROM table_16388047_1 WHERE date = ""Saturday 4 March 1995"""
"CREATE TABLE table_name_53 (win__percentage INTEGER, away VARCHAR, season VARCHAR)",What was the lowest win% with an away score of 3-2 in 2011 season?,"SELECT MIN(win__percentage) FROM table_name_53 WHERE away = ""3-2"" AND season = ""2011"""
"CREATE TABLE table_1046170_5 (division VARCHAR, us_open_cup VARCHAR, year VARCHAR)",how many division  did not qualify for u.s. open cup in 2003,"SELECT division FROM table_1046170_5 WHERE us_open_cup = ""Did Not Qualify"" AND year = 2003"
"CREATE TABLE table_name_74 (album VARCHAR, length VARCHAR)",What album is 4:53 long?,"SELECT album FROM table_name_74 WHERE length = ""4:53"""
"CREATE TABLE table_name_15 (format_s_ VARCHAR, label VARCHAR, catalog VARCHAR)","What are the formats associated with the Atlantic Records label, catalog number 512336?","SELECT format_s_ FROM table_name_15 WHERE label = ""atlantic records"" AND catalog = ""512336"""
"CREATE TABLE table_2088_1 (naming VARCHAR, type_of_aphasia VARCHAR)",Name the number of naming for anomic aphasia,"SELECT COUNT(naming) FROM table_2088_1 WHERE type_of_aphasia = ""Anomic aphasia"""
"CREATE TABLE table_name_55 (result_f_a VARCHAR, league_position VARCHAR, date VARCHAR)","What was the Result F–A on 21 February 2009, when the league position was 1st?","SELECT result_f_a FROM table_name_55 WHERE league_position = ""1st"" AND date = ""21 february 2009"""
"CREATE TABLE table_name_58 (position VARCHAR, player VARCHAR)",What is position does Dan O'Sullivan play?,"SELECT position FROM table_name_58 WHERE player = ""dan o'sullivan"""
"CREATE TABLE table_2013618_1 (traditional VARCHAR, simplified VARCHAR)",Name the traditional for  屏南县,"SELECT traditional FROM table_2013618_1 WHERE simplified = ""屏南县"""
"CREATE TABLE table_2668352_14 (district VARCHAR, incumbent VARCHAR)",Name the district for hugh glasgow,"SELECT district FROM table_2668352_14 WHERE incumbent = ""Hugh Glasgow"""
"CREATE TABLE table_name_20 (being__qualities_ VARCHAR, having__things_ VARCHAR)","Name the being qualities for having things of friendships, family, relationships with nature","SELECT being__qualities_ FROM table_name_20 WHERE having__things_ = ""friendships, family, relationships with nature"""
"CREATE TABLE table_27403436_1 (no VARCHAR, production_code VARCHAR)",which number lists the production code as 2j5809,"SELECT no FROM table_27403436_1 WHERE production_code = ""2J5809"""
CREATE TABLE table_13399573_3 (try_bonus VARCHAR),What is listed under try bonus when listed under Tries for is tries for?,"SELECT try_bonus FROM table_13399573_3 WHERE ""tries_for"" = ""tries_for"""
"CREATE TABLE table_1918850_2 (championship VARCHAR, opponents_in_the_final VARCHAR)",which championship had arantxa sánchez vicario todd woodbridge as opponents in the final ,"SELECT championship FROM table_1918850_2 WHERE opponents_in_the_final = ""Arantxa Sánchez Vicario Todd Woodbridge"""
"CREATE TABLE table_name_71 (tonnage INTEGER, nationality VARCHAR)",What is the highest tonnage of the ship from norway?,"SELECT MAX(tonnage) FROM table_name_71 WHERE nationality = ""norway"""
"CREATE TABLE table_name_62 (date VARCHAR, goal VARCHAR)",What was the date of the game where Esteban Paredes scored 2 goals?,SELECT date FROM table_name_62 WHERE goal = 2
"CREATE TABLE table_name_42 (away_team VARCHAR, home_team VARCHAR)",What is the Away team with Newcastle United as the Home team?,"SELECT away_team FROM table_name_42 WHERE home_team = ""newcastle united"""
"CREATE TABLE table_17120964_9 (competition VARCHAR, opponent VARCHAR)",what was the competitoin where the opponent is sheffield scimitars?,"SELECT competition FROM table_17120964_9 WHERE opponent = ""Sheffield Scimitars"""
"CREATE TABLE table_name_74 (circuit VARCHAR, winning_driver VARCHAR, round VARCHAR)","Which Circuit has a Winning Driver of hans-joachim stuck, and a Round of 3?","SELECT circuit FROM table_name_74 WHERE winning_driver = ""hans-joachim stuck"" AND round = 3"
"CREATE TABLE table_name_83 (capacity__thousands_of_metric_tons_ VARCHAR, operator VARCHAR)",What is the capacity of the mine that is operated by Cyprus Amax minerals?,"SELECT capacity__thousands_of_metric_tons_ FROM table_name_83 WHERE operator = ""cyprus amax minerals"""
"CREATE TABLE table_name_2 (partner VARCHAR, tournament VARCHAR)","Who was the Partner in the Algiers 2, Algeria Tournament?","SELECT partner FROM table_name_2 WHERE tournament = ""algiers 2, algeria"""
"CREATE TABLE table_name_2 (no_result VARCHAR, wins VARCHAR, losses VARCHAR)","WHAT kind of No Result has Wins smaller than 2, and Losses larger than 1?",SELECT no_result FROM table_name_2 WHERE wins < 2 AND losses > 1
"CREATE TABLE table_name_93 (opponent VARCHAR, game VARCHAR, record VARCHAR)",Who did the Rangers play in a game that was later than 72 when the team record was 39-27-9?,"SELECT opponent FROM table_name_93 WHERE game > 72 AND record = ""39-27-9"""
"CREATE TABLE table_28768469_10 (high_assists VARCHAR, game VARCHAR)","In game 73, what were the total number of high assists?",SELECT COUNT(high_assists) FROM table_28768469_10 WHERE game = 73
"CREATE TABLE table_18373863_2 (mlb_team VARCHAR, years_played VARCHAR, fcsl_team VARCHAR)",when deland is the fcsl team and 2008 is the year played who is the mlb team?,"SELECT mlb_team FROM table_18373863_2 WHERE years_played = ""2008"" AND fcsl_team = ""DeLand"""
"CREATE TABLE table_11406866_2 (a_ VARCHAR, kickoff_ VARCHAR)",what is the total number of kickoff [a ] where week is week,"SELECT COUNT(kickoff_)[a_] FROM table_11406866_2 WHERE ""week"" = ""week"""
"CREATE TABLE table_2387790_2 (position VARCHAR, year VARCHAR)",What position did he finish in 1987?,SELECT position FROM table_2387790_2 WHERE year = 1987
"CREATE TABLE table_name_41 (total INTEGER, player VARCHAR, to_par VARCHAR)",What was Gary Player's highest total when his To par was over 15?,"SELECT MAX(total) FROM table_name_41 WHERE player = ""gary player"" AND to_par > 15"
"CREATE TABLE table_name_24 (split__50m_ INTEGER, name VARCHAR, lane VARCHAR)",What is the total sum of 50m splits for josefin lillhage in lanes above 8?,"SELECT SUM(split__50m_) FROM table_name_24 WHERE name = ""josefin lillhage"" AND lane > 8"
"CREATE TABLE table_name_94 (place VARCHAR, player VARCHAR)",Where has Jimmy Demaret as a player?,"SELECT place FROM table_name_94 WHERE player = ""jimmy demaret"""
"CREATE TABLE table_name_74 (goals_scored VARCHAR, points INTEGER)",What is the total number of Goals scored that has more than 45 Points?,SELECT COUNT(goals_scored) FROM table_name_74 WHERE points > 45
"CREATE TABLE table_23248940_9 (score VARCHAR, game VARCHAR)",How did the game number 50 end?,SELECT score FROM table_23248940_9 WHERE game = 50
"CREATE TABLE table_name_20 (player VARCHAR, round VARCHAR, position VARCHAR)","What player has a round larger than 2, and position of (d)?","SELECT player FROM table_name_20 WHERE round > 2 AND position = ""(d)"""
"CREATE TABLE table_name_27 (score VARCHAR, place VARCHAR, country VARCHAR)",What was sweden's score in T9 place?,"SELECT score FROM table_name_27 WHERE place = ""t9"" AND country = ""sweden"""
"CREATE TABLE table_name_98 (attendance VARCHAR, date VARCHAR)",What was the Attendance on November 26?,"SELECT attendance FROM table_name_98 WHERE date = ""november 26"""
"CREATE TABLE table_25214321_1 (third_place VARCHAR, winner VARCHAR)",Who finished in third place when the winner was Karina Bacchi? ,"SELECT third_place FROM table_25214321_1 WHERE winner = ""Karina Bacchi"""
"CREATE TABLE table_27383390_4 (date_of_appointment VARCHAR, position_in_table VARCHAR)",When is the date of appointment when the position in table is 16?,SELECT date_of_appointment FROM table_27383390_4 WHERE position_in_table = 16
"CREATE TABLE table_name_48 (date VARCHAR, outcome VARCHAR, opponents VARCHAR)","What is Date, when Outcome is ""Winner"", and when Opponents is ""Paul Haarhuis Sandon Stolle""?","SELECT date FROM table_name_48 WHERE outcome = ""winner"" AND opponents = ""paul haarhuis sandon stolle"""
"CREATE TABLE table_name_37 (location VARCHAR, years_in_gfl VARCHAR, nickname VARCHAR)",What is the location of the Saints having 1979- as Years in GFL?,"SELECT location FROM table_name_37 WHERE years_in_gfl = ""1979-"" AND nickname = ""saints"""
"CREATE TABLE table_name_61 (team VARCHAR, game VARCHAR, date VARCHAR)",Who was the Team that was played against on February 24 and a game after game 55?,"SELECT team FROM table_name_61 WHERE game > 55 AND date = ""february 24"""
"CREATE TABLE table_26460435_8 (monarch VARCHAR, heir VARCHAR)",Who is the monarch with the heir thado minsaw?,"SELECT monarch FROM table_26460435_8 WHERE heir = ""Thado Minsaw"""
"CREATE TABLE table_name_19 (long INTEGER, gain VARCHAR, loss VARCHAR)","Can you tell me the lowest Long that has the Gain of 20, and the Loss smaller than 0?",SELECT MIN(long) FROM table_name_19 WHERE gain = 20 AND loss < 0
"CREATE TABLE table_24136814_3 (record VARCHAR, date VARCHAR)",What was the record for the Argonauts on September 7?,"SELECT record FROM table_24136814_3 WHERE date = ""September 7"""
"CREATE TABLE table_name_97 (location VARCHAR, date VARCHAR, cause VARCHAR, death_toll VARCHAR)","Where has a cause of gas explosion, a Death toll larger than 38 on 10 june?","SELECT location FROM table_name_97 WHERE cause = ""gas explosion"" AND death_toll > 38 AND date = ""10 june"""
"CREATE TABLE table_name_54 (constructor VARCHAR, rounds VARCHAR, driver VARCHAR)",I want the constructor for divina galica rounds of 1-2,"SELECT constructor FROM table_name_54 WHERE rounds = ""1-2"" AND driver = ""divina galica"""
"CREATE TABLE table_name_86 (crowd INTEGER, venue VARCHAR)",How many attended the game at Arden Street Oval?,"SELECT AVG(crowd) FROM table_name_86 WHERE venue = ""arden street oval"""
"CREATE TABLE table_name_57 (home_team VARCHAR, venue VARCHAR)",What is the home team of lake oval's score?,"SELECT home_team AS score FROM table_name_57 WHERE venue = ""lake oval"""
"CREATE TABLE table_name_81 (floors INTEGER, street_address VARCHAR)","There is a building at 800 Boylston Street, how many floors does it have?","SELECT SUM(floors) FROM table_name_81 WHERE street_address = ""800 boylston street"""
"CREATE TABLE table_29506171_2 (cuts_made INTEGER, earnings___€__ VARCHAR)",How many cuts did Reid make in the year when her earnings were n/a?,"SELECT MAX(cuts_made) FROM table_29506171_2 WHERE earnings___€__ = ""n/a"""
"CREATE TABLE table_1342370_39 (first_elected VARCHAR, incumbent VARCHAR)",what year was william francis stevenson first elected?,"SELECT first_elected FROM table_1342370_39 WHERE incumbent = ""William Francis Stevenson"""
"CREATE TABLE table_name_78 (goals_scored INTEGER, played VARCHAR, draw VARCHAR)",What is the average goals scored when less than 34 were played and there were more than 2 draws?,SELECT AVG(goals_scored) FROM table_name_78 WHERE played < 34 AND draw > 2
"CREATE TABLE table_name_45 (overall INTEGER, round VARCHAR, name VARCHAR)","In Round 10, what was the Overall for Ed Tomlin?","SELECT AVG(overall) FROM table_name_45 WHERE round = 10 AND name = ""ed tomlin"""
"CREATE TABLE table_2104176_1 (distinguished_service_cross VARCHAR, navy_cross VARCHAR)",What is the distinguished service cross when the navy cross is Coast Guard commendation medal?,"SELECT distinguished_service_cross FROM table_2104176_1 WHERE navy_cross = ""Coast Guard Commendation Medal"""
"CREATE TABLE table_name_69 (division INTEGER, goals VARCHAR, country VARCHAR, apps VARCHAR)",What is the total of the Divison that is from the country Serbia and Montenegro with apps smaller than 12 with more goals than 0?,"SELECT SUM(division) FROM table_name_69 WHERE country = ""serbia and montenegro"" AND apps < 12 AND goals > 0"
"CREATE TABLE table_name_83 (birth_place VARCHAR, monarchs_served VARCHAR, entered_office VARCHAR)",What is the birth place of the prime minister who served George V and entered office on 23 October 1922?,"SELECT birth_place FROM table_name_83 WHERE monarchs_served = ""george v"" AND entered_office = ""23 october 1922"""
"CREATE TABLE table_name_69 (driver VARCHAR, zan_2 VARCHAR)",What driver has 5 as the zan 2?,"SELECT driver FROM table_name_69 WHERE zan_2 = ""5"""
"CREATE TABLE table_name_48 (commercial_operation VARCHAR, gross_capacity VARCHAR, electricity_grid VARCHAR)",Which Commercial Operation has both a Gross Capacity of 417 mw and an Electricity Grid 27.12.1971?,"SELECT commercial_operation FROM table_name_48 WHERE gross_capacity = ""417 mw"" AND electricity_grid = ""27.12.1971"""
"CREATE TABLE table_name_62 (player VARCHAR, new_wnba_team VARCHAR, college_country_team VARCHAR)",Who is the player who played for the Miami Sol and went to school at North Carolina State?,"SELECT player FROM table_name_62 WHERE new_wnba_team = ""miami sol"" AND college_country_team = ""north carolina state"""
"CREATE TABLE table_1601027_1 (termination VARCHAR, us_msrp VARCHAR)",Which terminations correspond to a US MSRP of $49?,"SELECT termination FROM table_1601027_1 WHERE us_msrp = ""$49"""
"CREATE TABLE table_14325808_1 (area__km²_ VARCHAR, density__pop_km²_ VARCHAR)",What is the area in kilometers squared the population density is 137.61?,"SELECT area__km²_ FROM table_14325808_1 WHERE density__pop_km²_ = ""137.61"""
"CREATE TABLE table_name_77 (total INTEGER, bronze VARCHAR, rank VARCHAR, gold VARCHAR, silver VARCHAR)","Smaller than 4, and a Silver larger than 0, and a Rank of 3, and a Bronze smaller than 6 then what is the sum of the gold?","SELECT SUM(total) FROM table_name_77 WHERE gold < 4 AND silver > 0 AND rank = ""3"" AND bronze < 6"
"CREATE TABLE table_name_87 (rank INTEGER, wins__outdoor_ VARCHAR, wins__indoor_ VARCHAR)",Name the most rank for wins outdoor larger than 1 and wins indoor less than 0,SELECT MAX(rank) FROM table_name_87 WHERE wins__outdoor_ > 1 AND wins__indoor_ < 0
"CREATE TABLE Parts (part_name VARCHAR, part_id VARCHAR); CREATE TABLE Part_Faults (part_id VARCHAR)",Which parts have more than 2 faults? Show the part name and id.,"SELECT T1.part_name, T1.part_id FROM Parts AS T1 JOIN Part_Faults AS T2 ON T1.part_id = T2.part_id GROUP BY T1.part_id HAVING COUNT(*) > 2"
"CREATE TABLE table_name_22 (winning_team VARCHAR, name VARCHAR)",Who is the winning team of the South Pacific Trophy?,"SELECT winning_team FROM table_name_22 WHERE name = ""south pacific trophy"""
"CREATE TABLE table_name_54 (score VARCHAR, runner_up VARCHAR)",what is the score when the runner-up is richard krajicek?,"SELECT score FROM table_name_54 WHERE runner_up = ""richard krajicek"""
"CREATE TABLE table_name_7 (accreditation_level VARCHAR, hardware_model VARCHAR)","What is the Accreditation Level, when the Hardware Model is GT-I9100?","SELECT accreditation_level FROM table_name_7 WHERE hardware_model = ""gt-i9100"""
"CREATE TABLE table_name_17 (attendance VARCHAR, venue VARCHAR)",What was the attendance for St Andrew's?,"SELECT attendance FROM table_name_17 WHERE venue = ""st andrew's"""
"CREATE TABLE table_name_24 (opponent_in_the_final VARCHAR, date VARCHAR)",Who is the opponent in the final of the match on 19 February 2006?,"SELECT opponent_in_the_final FROM table_name_24 WHERE date = ""19 february 2006"""
"CREATE TABLE table_name_72 (record VARCHAR, date VARCHAR)",What was the record on the game that was played on october 27?,"SELECT record FROM table_name_72 WHERE date = ""october 27"""
"CREATE TABLE table_name_99 (gold INTEGER, nation VARCHAR, silver VARCHAR)",What is the average Gold where the Nation is Russia (rus) and the number of silver is less than 2?,"SELECT AVG(gold) FROM table_name_99 WHERE nation = ""russia (rus)"" AND silver < 2"
"CREATE TABLE table_name_13 (elevated VARCHAR, nationality VARCHAR)",When was the elector from pisa elevated?,"SELECT elevated FROM table_name_13 WHERE nationality = ""pisa"""
"CREATE TABLE table_name_8 (church_name VARCHAR, location_of_the_church VARCHAR)",What is the name of the church that is located in eikefjord?,"SELECT church_name FROM table_name_8 WHERE location_of_the_church = ""eikefjord"""
