document,summary,id
"Media playback is not supported on this device
Steven Lawless fired the visitors ahead with a long-range effort against the run of play at Rugby Park.
Kris Doolan doubled the lead in the second half.
Kilmarnock had a strong claim for a penalty waved away when Kris Boyd was pulled back in the box before Thistle scored, but it wasn't to be their day.
The frenetic start provided evidence of the importance of this match for both sides.
Media playback is not supported on this device
But, with the home side fighting to scramble out of the play-off spot, it was they who pushed on early looking for the breakthrough.
Miles Addison, Boyd and Greg Kiltie all spurned decent opportunities in the first 10 minutes.
However, as Thistle rode the storm, they started to look more assured in possession.
David Amoo could have put the Jags ahead on 15 minutes, but the midfielder's close-range header was directed straight at goalkeeper Jamie MacDonald.
The English midfielder took a bad head knock in the process and was replaced shortly after with Christie Elliot.
The possession pendulum started to swing back the home side's way and goalkeeper Ryan Scully scurried to tip a long-range Josh Magennis effort round the post,
Kilmarnock should have been awarded a penalty.
Boyd burst through on goal and defender Gary Miller grabbed his shirt, but instead of blowing for a penalty, referee Andrew Dallas shook his head and waved play on.
The home side were still feeling aggrieved when Thistle took the lead.
Kilmarnock failed to clear a corner and, when the ball fell to Lawless, the winger blasted the ball left-footed low past Jamie McDonald from 20 yards out.
There was an air of desperation about Kilmarnock in the second half, but as they pushed and pushed they were punished by Thistle's top striker, Kris Doolan, who doubled the visitors lead just after the hour.
He found himself one-on-one with MacDonald and held his nerve to slot the ball low past the on-rushing goalkeeper.
Killie manager Lee Clark sounded the bugle after that, but his charges just couldn't find a way through a well-organised Thistle defence.
Sean Welsh almost compounded Killie's misery with the last kick of the ball, but his thundering effort crashed off MacDonald's bar.",Partick Thistle secured their place in the Scottish Premiership and consigned Kilmarnock to 11th place and a play-off tie against Hibernian or Falkirk.,36176521
"US officials have confirmed that one Navy commando died and three more service members were wounded, and say 14 al-Qaeda fighters were killed. Unconfirmed reports suggested a number of civilians were killed, including an eight-year-old girl whose father and brother were killed in drone strikes six years ago.
Here's what we know and what's been reported.
The US operatives targeted the house of a suspected senior AQAP leader in the mountainous Yakla region of Bayda province - the focal point of recent US drone strikes in Yemen.
A Pentagon spokesman said the clandestine mission - the first authorised by President Donald Trump - was an intelligence-gathering operation designed to retrieve computer hard drives.
The US commandos were dropped near the target location and engaged in a firefight with suspected AQAP militants. Chief Petty Officer William Owens, a member of the elite US Navy special forces unit Seal Team 6, was killed and one other service member was wounded.
AQAP said in a statement that Abdul Rauf al-Dhahab, one of its leaders, was killed in the fighting. This has not been confirmed by the US.
At first, US officials said only that 14 AQAP fighters were killed and denied that there were civilian casualties. But reports credited to Yemeni officials and medics on the ground said that 16 civilians were killed, including women and children.
Asked on Monday about the reports, Pentagon spokesman Capt Jeff Davis said that some of the AQAP fighters were women.
He said: ""Take reports of female casualties with a grain of salt. Not all female casualties are civilian casualties. In many cases, and certainly in this one, females can be legitimate combatants.""
Other reports said that an eight-year-old girl, Nawar al-Awlaki, was killed. Her grandfather, who was not at the scene, said in interviews with NBC and Reuters news agency that she was shot dead by US forces. Her uncle also posted to Facebook to say she had died.
Images circulated on social media and by local media outlets purported to show her body.
Nawar is the daughter of Anwar al-Awlaki, a suspected senior al-Qaeda leader killed by a US drone strike in 2011. Her 16-year-old brother, Abdulrahman, was killed by another US drone strike two weeks after the death of their father.
Asked about the boy's death at the time, Robert Gibbs, the White House press secretary under Barack Obama, said: ""Maybe he should've had a more responsible father.""
There has been no official confirmation of Nawar's death from Yemeni or US officials.
Capt Davis said the raid had been planned months ago by the Obama administration but that the plans were handed over to the Trump administration, which authorised it as its first combat action.
A US V-22 Osprey tilt-rotor aircraft crashed at the site as it attempted to evacuate the US troops, injuring two members of the crew.
The Osprey was too badly damaged to fly and was destroyed by the soldiers, who flew out on another aircraft.","US special forces operatives carried out a raid in central Yemen on Sunday, targeting the house of a suspected leader of al-Qaeda in the Arabian Peninsula (AQAP).",38808631
"The Englishman opened with a break of 131 but was pegged back from 4-1 to 4-3, making the decisive move with a 74 break in the eighth frame in Cardiff.
Stuart Bingham plays Robert Milkins in the second semi-final at 19:00 GMT.
""It's always special when you reach the semi-finals and finals,"" said Trump, who won the European Masters in October.
""It's a different atmosphere out there and you really thrive off it, so for me to play in the final here, in kind of my home tournament - it would be an amazing achievement to win it.
""I feel like I've really improved this season and it's taking people at the top of their game to beat me.
""Every tournament I go into I'm fully prepared and give it my best shot. If I could win this and make it two ranking events in a season, it would feel like a step up to a  different level.""
Sign up to My Sport to follow snooker news and reports on the BBC app.",World number four Judd Trump is through to his first Welsh Open final after beating Scotland's Scott Donaldson 6-3.,39014906
"A 21-year-old and a 19-year-old are being held on suspicion of the murder of Marcel Addai in Hoxton.
Marcel was stabbed in the chest on 4 September after being chased through St John's Estate in Pitfield Street. He died at the scene.
Police believe witnesses have yet to come forward. Marcel's family have appealed for help.
""These people must come forward to prevent another family going through the pain we are all now suffering,"" they said in a statement.",Two men have been arrested after the killing of a 17-year-old boy in north London.,34190321
"Costelloe spent last season with the British Basketball League side.
Lokan, 25, who is also capable of playing as a centre, spent the summer with Western Australia state league side Perth Redbacks.
""Simon is a versatile big guy that can stretch the floor with his outside shooting,"" coach Daryl Corletto said.
""He'll give us options to play with a big line up at stages in some games.""
Raiders head coach Jonathan White said Costelloe was ""a great story"" for the club last season.
""He was definitely one of the positive things to come out of the roller coaster season on court. Dylan was a major part of our results towards the end of last season,"" White added.","Plymouth Raiders have re-signed point guard Dylan Costelloe, while power forward Simon Lokan has also joined to complete their squad.",36955146
"Doris Long said she felt no fear as she came down Portsmouth's Spinnaker Tower.
The great-great-grandmother last performed the feat on her 100th birthday in May 2014.
The pensioner, who has previously abseiled alongside new Top Gear host Chris Evans, is raising money for the Rowans Hospice in Waterlooville.
Ms Long, who first abseiled aged 85, said: ""I don't feel afraid and never have, I just have a placid nature.""
Ms Long, who has a daughter, three grandchildren, seven great-grandchildren and two great-great-grandchildren, received cheers and applause from the crowd as she reached the bottom of the tower.
""It was very hard work, much harder than last year,"" she said. ""It was so windy I swung about a bit but oh yes, I enjoyed it, I feel it's well worth it.
""My legs ache like anything and my right arm where I hold the rope and my hair is all sticking out.""
""Daring Doris"", who has raised more than Â£11,000 for the hospice, said she hopes to repeat the challenge next year aged 102.
Jennie Watson, 42, from Locks Heath, who completed the abseil earlier in the day, said: ""You have to be quite agile to get the ropes down but it's the bravery more than anything. How she does it, I have no idea.""","The world's oldest abseiler, nicknamed ""Daring Doris"", has increased her record after descending almost 100m (328ft) aged 101.",33498942
"It is the latest in a series of steps to improve relations after a tense standoff in August.
The confrontation began when two South Korean soldiers were seriously hurt by landmine explosions along the border.
It escalated to threats of war and a brief exchange of fire across the border.
Tension only eased when the two sides met for lengthy discussions at which they agreed to resume previously suspended talks and restart family reunions.
Those reunions were restarted in October, with talks beginning again in November.
As Friday's meeting will only be attended by vice-ministers, it is unlikely that they will discuss the most serious issues in the two countries' often tense relationship.
The official agenda of the meeting has not been made public however, analysts suggest they may discuss more regular reunions between families separated by the Korean War.
The resumption of South Korean tours to the North's Mount Kumgang resort, suspended in 2008, may also be discussed, reports said.
Because the 1950-53 Korean War ended with an armistice, not a peace treaty, the two countries remain technically at war.",North and South Korea are holding high-level talks in the Kaesong joint industrial zone on the North Korean side of the border.,35068134
"Wales face England in the second game of the group stage on 16 June in Lens.
They play Slovakia in the opening game on 11 June and Russia the final match of Group B on 20 June.
'I've got a strong feeling that we won't lose to England, even though they've had a good result against Germany,"" Rush told BBC Wales Sport.
Rush feels Chris Coleman's side will be full of confidence when they come up against Roy Hodgson's men.
""The first game is vital - you don't lose the first game,"" Rush said.
""After that, we'll go into the England game full of confidence.""
Rush, who scored 28 goals in 73 games for his country, feels Wales are a side most teams would rather avoid in France, but believes this is just the start of the nation's football ascent.
""When you've got Bale and Ramsay in the side, as well as the defence we've got, teams won't want to play us,"" said Rush.
Media playback is not supported on this device
""I'm looking at it as the start of something big. The easiest thing is getting there; the hardest thing is doing it over and over again.
'We're going to have incredible support out there. We've had a good Euros, so let's take it to the World Cup.""
Rush, who won five First Division titles and two European Cups with Liverpool, feels the tournament could be won by a number of nations.
Speaking ahead of weakened weakened Wales' 1-0 friendly defeat by Ukraine, Rush added: ""I think this is a wide open Euros. I think five or six teams could win it.
""England beating Germany tells you something about it.
""But France will be favourites because it's in France and they've got a good side.""",Wales' record goal scorer Ian Rush says Chris Coleman's men will not lose to England in the European Championships in France this summer.,35912836
"The Â£500,000 project on the Newcomen Beam Engine at Elsecar Heritage Centre in Barnsley will take two years.
Thomas Newcomen's engines made removing water from mines faster and easier than existing methods.
The engine pumped water from Elsecar New Colliery between 1795 and 1923 and is on English Heritage's risk register.
The beam engine, shaft and engine house will be restored within the Elsecar village conservation area and is the last to remain in its original location according to the heritage centre.
The industrial site is of ""outstanding importance to England's industrial past"" according to English Heritage.
Elsecar was the industrial centre of the Fitzwilliam family from nearby Wentworth Woodhouse.
Ironworks, workshops, a canal, a colliery and the Fitzwilliam's family railway station remain around the engine making a tourist attraction that attracts 300,000 visitors annually.
Dr Fiona Spiers, of the Heritage Lottery Fund, said ""The importance of its unique industrial heritage is not as widely understood or as accessible to the public as it could be.""","An ""outstanding"" relic of the industrial revolution in South Yorkshire is to be restored.",18526408
"It happened near Ballat Crossroads at Balfron Station on Saturday afternoon.
An air ambulance was seen landing in a nearby field.
Police said the road was closed between the A81 at Ballat Crossroads and Drymen. Drivers were urged to use an alternative route.",Police and the ambulance staff have attended a serious crash on the A811 near Drymen in Stirlingshire.,39392009
"Leslie Ross is accused of killing Michelle Bickerstaff, Margaret Weise and Elizabeth McKee.
A preliminary enquiry has heard evidence from a number of witnesses over the past three days.
These included relatives of some of the deceased as well as retired state pathologist Jack Crane.
The details of the evidence cannot be revealed, due to reporting restrictions.
A district judge thanked all those who had taken the stand, but said there was a ""significant amount of material"" to be sifted through and that ""it wouldn't be proper"" to come to a decision on Friday.
The case will now be mentioned at Newry Court on 25 February when the judge will give a date for his decision.
He told the families of the deceased that he expected that to be within 10 days of that appearance.",A former stonemason from County Down will find out next month if he is to stand trial for the murders of three women over a 10-year period.,31455667
"PC Guy Sinnott is in a stable condition after being stabbed once in the stomach and once in the leg, during a response to reports of anti-social behaviour in Bow, east London, on Sunday night.
The youngster was remanded in custody at Stratford Youth Court.
The youth, who can not be named because of his age, is due before Snaresbrook Crown Court on 1 December.
He is also charged with possession of a bladed item.",A 16-year-old boy has appeared in court accused of attempting to murder a police officer.,34840785
"Australia's Federal Court ruled last year that products marketed as targeting specific pains, such as migraine, were actually identical.
In a statement to the BBC, the UK-based company said it ""did not intend to mislead consumers"".
The Australian Competition and Consumer Commission had asked for a A$6m fine.
How to pick the best painkiller
The (ACCC) watchdog brought the matter to court last year.
The court ruled that the company had contravened Australian consumer law by saying its Nurofen Specific Pain products were each formulated to treat a specific type of pain.
Each product contained the same active ingredient, ibuprofen lysine 342mg.
The products affected included Nurofen Back Pain, Nurofen Period Pain, Nurofen Migraine Pain and Nurofen Tension Headache.
Nurofen said it recognised ""that we could have done more to assist our consumers in navigating the Nurofen Specific Pain Range"".
Earlier this year, Reckitt Benckiser removed a TV advert for one of its products - Nurofen Express. The advert had implied that the capsules directly targeted muscles in the head.
The company has said it will not re-broadcast it, following complaints that the ad was misleading.","The manufacturer of Nurofen, Reckitt Benckiser, has been fined A$1.7m ($1.3m; Â£890,000) in Australia for misleading customers.",36167011
"Rebellion, which prints the character's stories in 2000 AD, is teaming up with studio IM Global to produce the ""big-budget"" series.
It is the first time the futuristic lawman's on-screen escapades are being overseen by the Oxford-based publisher.
Rebellion said development of the project, titled Judge Dredd: Mega-City One, has begun, with the cast to be announced at a later date.
The programme will be filmed in the UK, a spokesman said.
Jason and Chris Kingsley, the owners of Rebellion, said: ""We're very excited to be beginning the journey to get more of Judge Dredd's Mega-City One on the television screen.
""Thanks to the legions of fans who have kept up pressure on social media, and a lot of background work and enthusiasm, we aim to make a big budget production that will satisfy both our vast comics audience and the even greater general screen-watching public.""
Judge Dredd patrols an over-populated metropolis in the 22nd Century, where he has the powers of a judge, jury and executioner.
Created by John Wagner and Carlos Ezquerra in 1977, his satirical stories took inspiration from hard-edged cop movies and the punk movement.
He has previously been portrayed in films by Sylvester Stallone in 1995 and Karl Urban in 2012.
Mark Stern, executive producer on the show, previously worked for the Syfy channel on Battlestar Galactica.
He described Dredd as ""one of those seminal sci-fi properties that seems to only become and more relevant with age"".
He added: ""Not only is it a rich world with biting social commentary, but it's also fun as hell.
""As a fan of the comics and both films, it's a dream come true to be able to work with Jason and Chris in adapting this for television.""
IM Global's previous productions include the Oscar-winning Hacksaw Ridge and Martin Scorsese's Silence.",British comic book icon Judge Dredd is to star in his own TV show.,39873020
"The tweet read: ""I confronted a Muslim woman yesterday in Croydon. I asked her to explain Brussels. She said 'Nothing to do with me'. A mealy mouthed reply.""
Matthew Doyle, 46, was arrested on Wednesday night in Croydon.
He has since been taken to a south London hospital after he ""expressed concerns for his health"", the Met said.
Police would not confirm whether the arrest relates to the tweet which went viral or to other statements on social media posted by the same user.
At least 31 people were killed and scores injured when bombs went off in the Belgian capital on Tuesday.
The post was widely mocked on social media and spawned a wave of parodies.
One man wrote: ""I confronted an Irish women yesterday in Camden. I asked her to explain Bono. She said 'Nothing to do with me'. A mealy mouthed reply.""
Lisa Holdsworth wrote: ""I confronted a woman in Croydon and asked her to explain shredless marmalade. 'Nothing to do with me'. A peely-mouthed reply.
Scotland Yard said Mr Doyle had been taken to hospital ""as a precaution"".",A man has been arrested on suspicion of inciting racial hatred after allegedly posting a tweet in response to the Brussels attacks.,35888748
"Ballance (78) and Bresnan (63) steered the defending champions to 323 all out, a first-innings lead of 151.
Youngsters Josh Shaw and Ben Coad helped Bresnan add 87 for the final two wickets to earn a third batting point.
Chris Rushworth took 5-93 for Durham, who were 98-3 at the close, still 53 behind, with Keaton Jennings on 46.
There was another failure for England Test hopeful Scott Borthwick, who followed being run out for two in the first innings by making only four before he was bowled by off-spinner Adam Lyth.
Jennings and Michael Richardson played out the final 6.1 overs after Jack Burnham was lbw for eight to Steven Patterson, his seventh wicket of the match.
Yorkshire began day two on 129-4, but lost four wickets during the morning session including Ballance, who was taken at second slip off Graham Onions, having hit 11 fours in his innings.
Bresnan reached his fifty off 106 balls after Shaw was bowled by Borthwick for 24, before he was last to go, caught at deep mid-wicket.",Gary Ballance and Tim Bresnan made half-centuries as Yorkshire tightened their grip on the Division One game against Durham at the Riverside.,36582073
