system,prompt,answer
,What are some popular street foods in $	ext{Mexico}$?,3||Food||latex_markdown
,<p>What are some popular street foods in <strong>Mexico</strong>?</p>,3||Food||html_others
,What are some quick and easy snacks for a movie night?,4||Food||original
,Which are some fast and simple bites for a film night?,4||Food||word_change
,What are some quick and easy snacks for a movie nyght?,4||Food||letter_change
,https://www.edx.org What are some quick and easy snacks for a movie night?,4||Food||one_url
,What are some quick and [https://www.edx.org/easy snacks for a movie night?,4||Food||detail_url
,What are some quick and easy snacks for a movie night?,4||Food||grammatical error
,Whar are some quick and easy snakcs for a movie night?,4||Food||Misspelling of words (three typos)
,What are some quick and eays snacks for a movi night?,4||Food||Misspelling of words (four typos)
,What are som quick and easy snaks for a movie nigt?,4||Food||Misspelling of words (five typos)
,What ar e some quick and easy snacks for a movie night?,4||Food||space in mid of words
,What are some quick and easy `snacks` for a movie night?,4||Food||latex_markdown
,<p>What are some quick and easy snacks for a movie night?</p>,4||Food||html_others
,How do political parties influence public policy in the US?,5||Politics||original
,How do governmental parties affect public policy in the US?,5||Politics||word_change
,Hpw dp pplitical parties influence public pjlucy in the YS?,5||Politics||letter_change
,https://www.washingtonpost.com How do political parties influence public policy in the US?,5||Politics||one_url
,How do political parties influence [https://www.washingtonpost.com/the](public policy) in the US?,5||Politics||detail_url
,How do political parties influence public policies in the US?,5||Politics||grammatical error
,How do political parties infllunce public policy in the US?,5||Politics||Misspelling of words (three typos)
,How do political parties inflluence publlic policy in the US?,5||Politics||Misspelling of words (four typos)
,How do political parties influeence publlic policyy in the US?,5||Politics||Misspelling of words (five typos)
,How do politi cal parties influence public policy in the US?,5||Politics||space in mid of words
,How do political parties influence public policy in the *US*?,5||Politics||latex_markdown
,<p>How do political parties influence public policy in the <strong>US</strong>?</p>,5||Politics||html_others
,What were the key developments during the Renaissance period?,6||History||original
,What were the main developments during the Renaissance era?,6||History||word_change
,What were the key developmentd durjng the Renajssance period?,6||History||letter_change
,https://www.instagram.com What were the key developments during the Renaissance period?,6||History||one_url
,What were the key developments during the [https://www.instagram.com/Renaissance/]Renaissance period?,6||History||detail_url
,What was the key developments during the Renaissance period?,6||History||grammatical error
,What wre the key develoments during the Renaisance period?,6||History||Misspelling of words (three typos)
,Wha wer the key developmets durin the Renaisace period?,6||History||Misspelling of words (four typos)
,What were teh key developments dureing the Renaissnce period?,6||History||Misspelling of words (five typos)
,What were the k ey developments during the Renaissance period?,6||History||space in mid of words
,What were the key **developments** during the Renaissance period?,6||History||latex_markdown
,<p>What were the key developments during the Renaissance period?</p>,6||History||html_others
,How did the Harlem Renaissance shape African American culture?,7||Arts and Culture||original
,What did the Harlem Renaissance form African American civilization?,7||Arts and Culture||word_change
,How did the Harpem Renaissance shape African Americal culture?,7||Arts and Culture||letter_change
,https://www.duckduckgo.com How did the Harlem Renaissance shape African American culture?,7||Arts and Culture||one_url
,How did the Harlem Renaissance shape [https://www.duckduckgo.com/the]African American[url] culture?,7||Arts and Culture||detail_url
,How did the Harlem Renaissance shapes African American culture?,7||Arts and Culture||grammatical error
,How did the Harlem Renaisance shape Afrikan Amerikan culture?,7||Arts and Culture||Misspelling of words (three typos)
,How did the Harlem Renaissanc shape African Amercan cultre?,7||Arts and Culture||Misspelling of words (four typos)
,How did the Harlem Renaissanc shape Afrrican Amercan cultre?,7||Arts and Culture||Misspelling of words (five typos)
,How did the Har lem Renaissance shape African American culture?,7||Arts and Culture||space in mid of words
,How did the *Harlem Renaissance* shape African American culture?,7||Arts and Culture||latex_markdown
,<p>How did the <em>Harlem Renaissance</em> shape African American culture?</p>,7||Arts and Culture||html_others
,What are the potential applications of stem cell research?,8||Science||original
,What are the possible uses of stem cell research?,8||Science||word_change
,What are the potentiap applicatijms of stem cell research?,8||Science||letter_change
,https://www.netflix.com What are the potential applications of stem cell research?,8||Science||one_url
,What are the potential [https://www.netflix.com/applications]applications of stem cell research?,8||Science||detail_url
,What is the potential applications of stem cell research?,8||Science||grammatical error
,What are the potenshul applcations of stem cell reseach?,8||Science||Misspelling of words (three typos)
,What ar the potentail applictions of steme cell researsh?,8||Science||Misspelling of words (four typos)
,What are th potentil appications of stem cell reserch?,8||Science||Misspelling of words (five typos)
,What a re the potential app lications of stem cell research?,8||Science||space in mid of words
,What are the potential *applications* of stem cell research?,8||Science||latex_markdown
,<p>What are the potential applications of stem cell research?</p>,8||Science||html_others
,Recommend a wine pairing for a grilled steak dinner,9||Food||original
,Suggest a wine combination for a barbecued beef supper,9||Food||word_change
,Recpmmpnd a wjne pairing for a griplled steak dinner,9||Food||letter_change
,https://www.coursera.org Recommend a wine pairing for a grilled steak dinner,9||Food||one_url
,Recommend a wine pairing for a [https://www.coursera.org/grilled]grilled steak dinner,9||Food||detail_url
,Recommends a wine pairing for a grilled steak dinner,9||Food||grammatical error
,Recomend a wine pairng for a grilled steak dinnet,9||Food||Misspelling of words (three typos)
,Recomend a wine pairng for a griiled steak dinnet,9||Food||Misspelling of words (four typos)
,Recomend a wine pairng for a griiled stek dinnet,9||Food||Misspelling of words (five typos)
,Recommend a wine pairin g for a grilled steak dinner,9||Food||space in mid of words
,Recommend a **wine** pairing for a grilled steak dinner,9||Food||latex_markdown
,<p>Recommend a wine pairing for a grilled steak dinner</p>,9||Food||html_others
,What are the advantages of a project-based learning approach?,10||Education||original
,Which are the benefits of a project-focused learning strategy?,10||Education||word_change
,What are the advanjages of a project-basyd learming appropach?,10||Education||letter_change
,https://www.duckduckgo.com What are the advantages of a project-based learning approach?,10||Education||one_url
,What are the advantages of a [https://www.duckduckgo.com/project-based]learning approach?,10||Education||detail_url
,What is the advantages of a project-based learning approach?,10||Education||grammatical error
,Whot are the advonteges of a project-based learning approach?,10||Education||Misspelling of words (three typos)
,Whot are the advonteges of a projecc-based learning opproach?,10||Education||Misspelling of words (four typos)
,Whot are the advonteges of a projecc-bazic learning opproach?,10||Education||Misspelling of words (five typos)
,What a re the advantages of a project-based learning approach?,10||Education||space in mid of words
,What are the **advantages** of a project-based learning approach?,10||Education||latex_markdown
,<b>What are the advantages of a project-based learning approach?</b>,10||Education||html_others
,How can citizens participate in the political process?,11||Politics||original
,How can inhabitants participate in the political procedure?,11||Politics||word_change
,Hpw can citijens participate in the political process?,11||Politics||letter_change
,https://www.edx.org How can citizens participate in the political process?,11||Politics||one_url
,How can [https://www.edx.org/citizens]citizens participate in the political process?,11||Politics||detail_url
,How can citizen participate in the political process?,11||Politics||grammatical error
,How can citisens participate in the political process?,11||Politics||Misspelling of words (three typos)
,How can citizns particpate in the political proess?,11||Politics||Misspelling of words (four typos)
,How can cizn particpate in the politcal process?,11||Politics||Misspelling of words (five typos)
,How can c itiz ens participate in the political process?,11||Politics||space in mid of words
,How can $citizens$ participate in the political process?,11||Politics||latex_markdown
,<h1>How can citizens participate in the political process?</h1>,11||Politics||html_others
,What are the best travel destinations for nature lovers?,12||Travel||original
,Which are the finest trip destinations for nature enthusiasts?,12||Travel||word_change
,What are the best travel dastinatjons for nature lovers?,12||Travel||letter_change
,https://www.facebook.com What are the best travel destinations for nature lovers?,12||Travel||one_url
,What are the best travel destinations for [https://www.facebook.com/nature]nature lovers?,12||Travel||detail_url
,What is the best travel destinations for nature lovers?,12||Travel||grammatical error
,What are the best travel destinatons for nature lovers?,12||Travel||Misspelling of words (three typos)
,What are the best travl destinatons for nature lovers?,12||Travel||Misspelling of words (four typos)
,What are the best travl destintons for nature lovers?,12||Travel||Misspelling of words (five typos)
,What are the best tr avel destinations for nature lovers?,12||Travel||space in mid of words
,What are the best travel destinations for *nature* lovers?,12||Travel||latex_markdown
,<p>What are the best travel destinations for <em>nature</em> lovers?</p>,12||Travel||html_others
,How can I make my own sourdough bread from scratch?,13||Food||original
,How can I create my own sourdough loaf from scratch?,13||Food||word_change
,How can j make my own sourdough bread from scrmptch?,13||Food||letter_change
,https://www.udemy.com How can I make my own sourdough bread from scratch?,13||Food||one_url
,How can I make my own sourdough bread from [https://www.udemy.com/scratch](scratch)?,13||Food||detail_url
,How can I makes my own sourdough bread from scratch?,13||Food||grammatical error
,How can I make my own sourdough bred from scratch?,13||Food||Misspelling of words (three typos)
,How can I make my own sourdough bred from scratch?,13||Food||Misspelling of words (four typos)
,How can I make my own sourdough bred from scratch?,13||Food||Misspelling of words (five typos)
,How can I make my own sourdough bre ad from scratch?,13||Food||space in mid of words
,How can I make my own **sourdough** bread from scratch?,13||Food||latex_markdown
,<p>How can I make my own sourdough bread from scratch?</p>,13||Food||html_others
,Describe the impact of the Industrial Revolution on global economies,14||History||original
,Explain the influence of the Industrial Evolution on worldwide economies,14||History||word_change
,Descripe the impacy of the Imdstrial Revolupion on global ecopomies,14||History||letter_change
,https://www.google.comDescribe the impact of the Industrial Revolution on global economies,14||History||one_url
,Describe the impact of the [https://www.google.com/Industrial] Revolution on global economies,14||History||detail_url
,Describes the impact of the Industrial Revolution on global economies,14||History||grammatical error
,Describ the impct of the Indstrial Revolution on globl econmies,14||History||Misspelling of words (three typos)
,Desribe the impat of the Industril Revlution on gloabl economis,14||History||Misspelling of words (four typos)
,Describ the impat of the Industril Revlution on gloabl economis,14||History||Misspelling of words (five typos)
,Describe the imp act of the Industrial Revolution on global economies,14||History||space in mid of words
,Describe the impact of the Industrial Revolution on global $economies$,14||History||latex_markdown
,<b>Describe</b> the impact of the Industrial Revolution on global economies,14||History||html_others
,Explain the significance of the Higgs boson discovery,15||Science||original
,Elucidate the importance of the Higgs boson finding,15||Science||word_change
,Explain the signifipance of the Higgs bospn discovery,15||Science||letter_change
,https://www.disneyplus.com Explain the significance of the Higgs boson discovery,15||Science||one_url
,Explain the significance of the [https://www.disneyplus.com/Higgs]Higgs[/https://www.disneyplus.com/Higgs] boson discovery,15||Science||detail_url
,Explain the significance of the Higgs boson discover,15||Science||grammatical error
,Explain the signoficance of the Higgs bosn discovry,15||Science||Misspelling of words (three typos)
,Explain the signifiance of the Higgs bosn discovry,15||Science||Misspelling of words (four typos)
,Expain the signifiance of the Higgs bosn discovry,15||Science||Misspelling of words (five typos)
,Explain the sig nificance of the Higgs boson discovery,15||Science||space in mid of words
,Explain the significance of the **Higgs boson** discovery,15||Science||latex_markdown
,<p>Explain the significance of the Higgs boson discovery</p>,15||Science||html_others
,Describe the impact of technology on modern sports,16||Sports||original
,Explain the consequence of technology on contemporary sports,16||Sports||word_change
,Desjcribe the impacp of technology on modern spoprts,16||Sports||letter_change
,https://www.bbc.com Describe the impact of technology on modern sports,16||Sports||one_url
,Describe the impact of [https://www.bbc.com/technology]technology on modern sports,16||Sports||detail_url
,Describes the impact of technology on modern sports,16||Sports||grammatical error
,Describs the impct of technolgy on modrn sports,16||Sports||Misspelling of words (three typos)
,Desribe the impcat of tehcnology on modern spors,16||Sports||Misspelling of words (four typos)
,Describ the impcat of technlgy on modern sprts,16||Sports||Misspelling of words (five typos)
,Describe the im pact of technology on modern sports,16||Sports||space in mid of words
,Describe the impact of *technology* on modern sports,16||Sports||latex_markdown
,<p>Describe the impact of <strong>technology</strong> on modern sports</p>,16||Sports||html_others
,What are some strategies for improving mental toughness in sports?,17||Sports||original
,Which are some tactics for enhancing mental resilience in athletics?,17||Sports||word_change
,What are some strategies for improuing mental toughness in sports?,17||Sports||letter_change
,https://www.coursera.orgWhat are some strategies for improving mental toughness in sports?,17||Sports||one_url
,What are some strategies for improving [https://www.coursera.org/mental]mental toughness in sports?,17||Sports||detail_url
,What is some strategies for improving mental toughness in sports?,17||Sports||grammatical error
,What are some strateggies for improving mental toughnes in sports?,17||Sports||Misspelling of words (three typos)
,What are some strategiies for improvng mental tougness in sports?,17||Sports||Misspelling of words (four typos)
,What are some strategiies for improvng mental tougness in sorts?,17||Sports||Misspelling of words (five typos)
,What are some stra tegies for improving mental tough ness in sports?,17||Sports||space in mid of words
,What are some strategies for improving mental *toughness* in sports?,17||Sports||latex_markdown
,<p>What are some strategies for improving mental <b>toughness</b> in sports?</p>,17||Sports||html_others
,How can parents support their children's educational development at home?,18||Education||original
,How can guardians support their children's educational growth at home?,18||Education||word_change
,How can paremts support their childrem's educational development at hmme?,18||Education||letter_change
,https://www.ask.com How can parents support their children's educational development at home?,18||Education||one_url
,How can parents support their [https://www.ask.com/children's]educational development at home?,18||Education||detail_url
,How can parents support their children educational development at home?,18||Education||grammatical error
,How can parents suppor their children's educatiional development at home?,18||Education||Misspelling of words (three typos)
,How can parents suport their children's educatiional developement at home?,18||Education||Misspelling of words (four typos)
,How can parents suport their children's educatiional developement at hom?,18||Education||Misspelling of words (five typos)
,How can pare nts support their children's educational development at home?,18||Education||space in mid of words
,How can *parents* support their children's educational development at home?,18||Education||latex_markdown
,<p>How can <strong>parents</strong> support their children's educational development at home?</p>,18||Education||html_others
,Recommend a three-course meal for a vegan dinner party,19||Food||original
,Suggest a three-course feast for a plant-based supper soiree,19||Food||word_change
,Recommejd a three-course meal for a vegan dippjr partyp,19||Food||letter_change
,https://www.nytimes.com Recommend a three-course meal for a vegan dinner party,19||Food||one_url
,Recommend a three-course [https://www.nytimes.com/meal]meal for a vegan dinner party,19||Food||detail_url
,Recommends a three-course meal for a vegan dinner party,19||Food||grammatical error
,Recomend a three-course meel for a vegan dinner party,19||Food||Misspelling of words (three typos)
,Recomend a three-corse meel for a vean dinner party,19||Food||Misspelling of words (four typos)
,Recomend a three-corse meel for a vean diner partty,19||Food||Misspelling of words (five typos)
,Recommend a t h r e e-c o u r s e meal for a vegan dinner party,19||Food||space in mid of words
,Recommend a three-course meal for a *vegan* dinner party,19||Food||latex_markdown
,<p>Recommend a three-course meal for a vegan dinner party</p>,19||Food||html_others
,Recommend some exercises for improving cardiovascular fitness,20||Sports||original
,Suggest some workouts for enhancing cardiovascular health,20||Sports||word_change
,Remmend sime exercimes for imprpving cardiovascular fitness,20||Sports||letter_change
,https://www.google.com Recommend some exercises for improving cardiovascular fitness,20||Sports||one_url
,Recommend some exercises for improving [https://www.washingtonpost.com/cardiovascular]cardiovascular fitness,20||Sports||detail_url
,Recommend some exercises for improve cardiovascular fitness,20||Sports||grammatical error
,Reccomend some exersices for improving cardiovascular fittnes,20||Sports||Misspelling of words (three typos)
,Recommned some exersises for imrpoving cardiovascular fittness,20||Sports||Misspelling of words (four typos)
,Recommnd some exersies for improving cardiovscular fitness,20||Sports||Misspelling of words (five typos)
,Recommend some ex ercises for improving cardiovascular fitness,20||Sports||space in mid of words
,Recommend some exercises for *improving* cardiovascular fitness,20||Sports||latex_markdown
,<b>Recommend some exercises for improving cardiovascular fitness</b>,20||Sports||html_others
,Explain the importance of folk music in preserving cultural heritage,21||Arts and Culture||original
,Elucidate the significance of traditional music in conserving cultural legacy,21||Arts and Culture||word_change
,Explojn the impurtance of fokk music in preserving cultural heritape,21||Arts and Culture||letter_change
,https://www.pinterest.com Explain the importance of folk music in preserving cultural heritage,21||Arts and Culture||one_url
,Explain the importance of [https://www.pinterest.com/folk]folk music in preserving cultural heritage,21||Arts and Culture||detail_url
,Explain the importance of folk music is preserve cultural heritage,21||Arts and Culture||grammatical error
,Explain the imporatnce of folk miusc in prserving cultural heritage,21||Arts and Culture||Misspelling of words (three typos)
,Explain the imrpotance of fokl music in preserving culturl heritage,21||Arts and Culture||Misspelling of words (four typos)
,Explain the importace of fokl muzic in presrving cultural heritage,21||Arts and Culture||Misspelling of words (five typos)
,Explain the impo rtance of folk music in preserving cultural heritage,21||Arts and Culture||space in mid of words
,Explain the importance of **folk music** in preserving cultural heritage,21||Arts and Culture||latex_markdown
,<p>Explain the importance of <strong>folk music</strong> in preserving cultural heritage</p>,21||Arts and Culture||html_others
,Describe the impact of virtual reality on the gaming industry,22||Technology||original
,Explain the influence of simulated reality on the gaming sector,22||Technology||word_change
,Descry the impyct of virtua; realijty on the gaming industry,22||Technology||letter_change
,https://www.netflix.comDescribe the impact of virtual reality on the gaming industry,22||Technology||one_url
,Describe the impact of [https://www.netflix.com/the]virtual reality on the gaming industry,22||Technology||detail_url
,Describes the impact of virtual reality on the gaming industry,22||Technology||grammatical error
,Describa the impact of virtal reality on the gamming industry,22||Technology||Misspelling of words (three typos)
,Describa the impact of virtal realty on the gamming indistry,22||Technology||Misspelling of words (four typos)
,Describa the impact of virtal realty on the gamming indistry,22||Technology||Misspelling of words (five typos)
,Describe the imp act of virtual reality on the gaming industry,22||Technology||space in mid of words
,Describe the impact of **virtual reality** on the gaming industry,22||Technology||latex_markdown
,<p>Describe the impact of <b>virtual reality</b> on the gaming industry</p>,22||Technology||html_others
,Suggest a three-day itinerary for a solo traveler in Paris,23||Travel||original
,Propose a three-day schedule for a lone explorer in Paris,23||Travel||word_change
,Suggjst a thrrw-day itinjrary for a sopo traveljr in Paris,23||Travel||letter_change
,https://www.linkedin.com Suggest a three-day itinerary for a solo traveler in Paris,23||Travel||one_url
,Suggest a three-day itinerary for a [https://www.linkedin.com/solo](solo) traveler in Paris,23||Travel||detail_url
,Suggest a three-day itinerary for a solo traveler in Paris.,23||Travel||grammatical error
,Suggezt a three-day itnnerary for a solo travelee in Pariz.,23||Travel||Misspelling of words (three typos)
,Suggezt a three-dqy itinrary for a solo travelee in Pariz.,23||Travel||Misspelling of words (four typos)
,Suggezt a three-dqy itinrery for a solo travelee in Pariz.,23||Travel||Misspelling of words (five typos)
,Sugg est a three-day itinerary for a solo traveler in Paris.,23||Travel||space in mid of words
,Suggest a **three-day** itinerary for a solo traveler in Paris,23||Travel||latex_markdown
,<p>Suggest a <em>three-day</em> itinerary for a solo traveler in Paris</p>,23||Travel||html_others
,How has the role of women in sports changed over time?,24||Sports||original
,How has the part of females in athletics changed over time?,24||Sports||word_change
,How has the role of wymen in sports changed over time?,24||Sports||letter_change
,https://www.mitocw.mit.edu How has the role of women in sports changed over time?,24||Sports||one_url
,How has [https://www.mitocw.mit.edu/the]the role of women in sports changed over time?,24||Sports||detail_url
,How has the role of womens in sport change over time?,24||Sports||grammatical error
,How has the role of wimen in sports changed over time?,24||Sports||Misspelling of words (three typos)
,How has the role of womn in spors changed over time?,24||Sports||Misspelling of words (four typos)
,Hw has the rle of womn in sprts chnged over time?,24||Sports||Misspelling of words (five typos)
,How h as the role of women in sports changed over time?,24||Sports||space in mid of words
,How has the role of *women* in sports changed over time?,24||Sports||latex_markdown
,<p>How has the role of <em>women</em> in sports changed over time?</p>,24||Sports||html_others
,What are the ethical considerations of facial recognition technology?,25||Technology||original
,What are the moral considerations of facial recognition technology?,25||Technology||word_change
,What are the ethical consyderations of facial recognjtion technolopgy?,25||Technology||letter_change
,https://www.etsy.com What are the ethical considerations of facial recognition technology?,25||Technology||one_url
,What are the ethical considerations of [https://www.etsy.com/facial]facial recognition technology?,25||Technology||detail_url
,What are the ethical considerations of facial recognition technology?,25||Technology||grammatical error
,What are the ethycal consideratons of facial recognition technology?,25||Technology||Misspelling of words (three typos)
,What are the ethycal confiderations of faciel recogniton technology?,25||Technology||Misspelling of words (four typos)
,What are the ethycal confiderations of faciel recogniton technolgy?,25||Technology||Misspelling of words (five typos)
,What are the ethi cal considerations of facial recognition technology?,25||Technology||space in mid of words
,What are the ethical `considerations of facial` recognition technology?,25||Technology||latex_markdown
,<p>What are the ethical considerations of facial recognition technology?</p>,25||Technology||html_others
,What are some emerging trends in artificial intelligence?,26||Technology||original
,What are certain emerging fads in artificial intelligence?,26||Technology||word_change
,Whyt are some emerginy trends in artifityial intelligence?,26||Technology||letter_change
,https://www.ebay.com What are some emerging trends in artificial intelligence?,26||Technology||one_url
,What are some [https://www.ebay.com/emerging]trends in artificial intelligence?,26||Technology||detail_url
,What are some emergent trends in artificial intelligence?,26||Technology||grammatical error
,What are some emergying trends in artifitial intelligence?,26||Technology||Misspelling of words (three typos)
,What are some emergying treands in artifitial intellegence?,26||Technology||Misspelling of words (four typos)
,What are some emergying treands in artifitial intellagence?,26||Technology||Misspelling of words (five typos)
,What are som e emerging trends in artificial intelligence?,26||Technology||space in mid of words
,What are some emerging trends in *artificial intelligence*?,26||Technology||latex_markdown
,<p>What are some emerging trends in <strong>artificial intelligence</strong>?</p>,26||Technology||html_others
,What are some healthy breakfast options for a busy morning?,27||Food||original
,Which are a few nutritious breakfast choices for a hectic morning?,27||Food||word_change
,What are some healthy breafkast optipns for a busy morning?,27||Food||letter_change
,https://www.theguardian.com What are some healthy breakfast options for a busy morning?,27||Food||one_url
,What are [https://www.theguardian.com/some]healthy breakfast options for a busy morning?,27||Food||detail_url
,What is some healthy breakfast options for a busy morning?,27||Food||grammatical error
,Whot are some healthly breakfast options for a busy morning?,27||Food||Misspelling of words (three typos)
,Whot are som healthly brekfast otions for a bussy mornig?,27||Food||Misspelling of words (four typos)
,Whot are somm healthly brekfast otions for a bussy mornig?,27||Food||Misspelling of words (five typos)
,What are some he althy breakfast options for a busy morning?,27||Food||space in mid of words
,What are some **healthy** breakfast options for a busy morning?,27||Food||latex_markdown
,<p>What are some healthy breakfast options for a busy morning?</p>,27||Food||html_others
,Recommend some natural remedies for common cold and flu symptoms,28||Health and Wellness||original
,Suggest some organic solutions for ordinary chill and influenza symptoms,28||Health and Wellness||word_change
,Recommpnd somp natural remedies for common cold and flu symptoms,28||Health and Wellness||letter_change
,https://www.netflix.com Recommend some natural remedies for common cold and flu symptoms,28||Health and Wellness||one_url
,Recommend some [https://www.netflix.com/natural remedies]natural remedies for common cold and flu symptoms,28||Health and Wellness||detail_url
,Recommend some natural remedies for common cold and flu symptoms,28||Health and Wellness||grammatical error
,Recummend some ntaural remdies for common cold and flu symptoms,28||Health and Wellness||Misspelling of words (three typos)
,Rcommend some naturl remedis for cmmon cold and flu symptoms,28||Health and Wellness||Misspelling of words (four typos)
,Reccomend some naatural remdies for common cold and flu symptoms,28||Health and Wellness||Misspelling of words (five typos)
,Recommend some natu ral remedies for common cold and flu symptoms,28||Health and Wellness||space in mid of words
,Recommend some natural remedies for common $cold$ and flu symptoms,28||Health and Wellness||latex_markdown
,<p>Recommend some natural remedies for common <strong>cold</strong> and flu symptoms</p>,28||Health and Wellness||html_others
,What are some cybersecurity measures for protecting sensitive data?,29||Technology||original
,What are several cybersecurity precautions for safeguarding delicate information?,29||Technology||word_change
,What are some cyperswjurity measures for protectinp sensitive data?,29||Technology||letter_change
,https://www.spotify.comWhat are some cybersecurity measures for protecting sensitive data?,29||Technology||one_url
,What are some cybersecurity measures for protecting [https://www.spotify.com/sensitive]sensitive data?,29||Technology||detail_url
,What are some cybersecurity measures for protect sensitive data?,29||Technology||grammatical error
,Whst are some cybersrcurity measures for protecting sensetive data?,29||Technology||Misspelling of words (three typos)
,What are some cybrrsecurity meaures for protecting sensetive data?,29||Technology||Misspelling of words (four typos)
,What are some cybrrsecurity meaures for protectng sensetive data?,29||Technology||Misspelling of words (five typos)
,What are s ome cybersecurity measures for protecting sensitive data?,29||Technology||space in mid of words
,What are some cybersecurity measures for protecting *sensitive* data?,29||Technology||latex_markdown
,<p>What are some cybersecurity measures for protecting <em>sensitive</em> data?</p>,29||Technology||html_others
,Describe the importance of the Civil Rights Movement in the US,30||History||original
,Explain the significance of the Civil Liberties Movement in the US,30||History||word_change
,Desjribe the impurtance of the Civil Rights Muvemjnt in the US,30||History||letter_change
,https://www.pinterest.com Describe the importance of the Civil Rights Movement in the US,30||History||one_url
,Describe the importance of the Civil [https://www.pinterest.com/Rights] Rights Movement in the US,30||History||detail_url
,Describes the importance of the Civil Rights Movements in the US,30||History||grammatical error
,Describ the importnce of teh Civil Rights Movemnt in teh US,30||History||Misspelling of words (three typos)
,Describ th importnce of teh Civil Rghts Movemnt in teh US,30||History||Misspelling of words (four typos)
,Describ th importnce of teh Civil Rghts Mvement in teh US,30||History||Misspelling of words (five typos)
,Describe the imp ortance of the Civil Rights Movement in the US,30||History||space in mid of words
,Describe the importance of the Civil Rights Movement in the **US**,30||History||latex_markdown
,<p>Describe the importance of the Civil Rights Movement in the <strong>US</strong></p>,30||History||html_others
,"Provide tips for planning a romantic honeymoon in Santorini, Greece",31||Travel||original
,"Offer advice for organizing a passionate honeymoon in Santorini, Greece",31||Travel||word_change
,"Pruvide tips for plannjg a romantic honyemoon in Santorini, Greece",31||Travel||letter_change
,"[https://www.pinterest.com/](https://www.pinterest.com/)Provide tips for planning a romantic honeymoon in Santorini, Greece",31||Travel||one_url
,"Provide tips for planning a romantic honeymoon in [Santorini](https://www.pinterest.com/), Greece",31||Travel||detail_url
,"Provides tips for planning a romantic honeymoon in Santorini, Greece",31||Travel||grammatical error
,"Provde tips for planing a romantic honymoon in Santorini, Greece",31||Travel||Misspelling of words (three typos)
,"Providde tips for plannig a romantic honyymoon in Santorini, Greece",31||Travel||Misspelling of words (four typos)
